Country,Year,Population
Bolivia (Plurinational State of),1992,"7,160,920"
Bolivia (Plurinational State of),1993,"7,312,850"
Bolivia (Plurinational State of),1994,"7,466,793"
Bolivia (Plurinational State of),1995,"7,622,338"
Bolivia (Plurinational State of),1996,"7,779,267"
Bolivia (Plurinational State of),1997,"7,937,458"
Bolivia (Plurinational State of),1998,"8,096,761"
Bolivia (Plurinational State of),1999,"8,257,066"
Bolivia (Plurinational State of),2000,"8,418,264"
Bolivia (Plurinational State of),2001,"8,580,235"
Bolivia (Plurinational State of),2002,"8,742,814"
Bolivia (Plurinational State of),2003,"8,905,823"
Bolivia (Plurinational State of),2004,"9,069,039"
Bolivia (Plurinational State of),2005,"9,232,306"
Bolivia (Plurinational State of),2006,"9,395,446"
Bolivia (Plurinational State of),2007,"9,558,439"
Bolivia (Plurinational State of),2008,"9,721,454"
Bolivia (Plurinational State of),2009,"9,884,781"
Bolivia (Plurinational State of),2010,"10,048,590"
Bolivia (Plurinational State of),2011,"10,212,954"
Bolivia (Plurinational State of),2012,"10,377,676"
Bolivia (Plurinational State of),2013,"10,542,377"
Bolivia (Plurinational State of),2014,"10,706,517"
Bolivia (Plurinational State of),2015,"10,869,730"
Bolivia (Plurinational State of),2016,"11,031,814"
Bolivia (Plurinational State of),2017,"11,192,855"
Bolivia (Plurinational State of),2018,"11,353,142"
Bolivia (Plurinational State of),2019,"11,513,100"
Bolivia (Plurinational State of),2020,"11,673,021"
Bolivia (Plurinational State of),2020,"11,673,021"
Bolivia (Plurinational State of),2021,"11,839,424"
Bolivia (Plurinational State of),2022,"12,007,906"
Bolivia (Plurinational State of),2023,"12,178,124"
Bolivia (Plurinational State of),2024,"12,349,793"
Bolivia (Plurinational State of),2025,"12,522,623"
Bolivia (Plurinational State of),2026,"12,696,371"
Bolivia (Plurinational State of),2027,"12,870,811"
Bolivia (Plurinational State of),2028,"13,045,758"
Bolivia (Plurinational State of),2029,"13,221,048"
Bolivia (Plurinational State of),2030,"13,396,493"
Bolivia (Plurinational State of),2031,"13,571,975"
Bolivia (Plurinational State of),2032,"13,747,307"
Bolivia (Plurinational State of),2033,"13,922,340"
Bolivia (Plurinational State of),2034,"14,096,898"
Bolivia (Plurinational State of),2035,"14,270,850"
Bolivia (Plurinational State of),2036,"14,444,101"
Bolivia (Plurinational State of),2037,"14,616,594"
Bolivia (Plurinational State of),2038,"14,788,326"
Bolivia (Plurinational State of),2039,"14,959,302"
Bolivia (Plurinational State of),2040,"15,129,540"
Bolivia (Plurinational State of),2041,"15,299,028"
Bolivia (Plurinational State of),2042,"15,467,776"
Bolivia (Plurinational State of),2043,"15,635,836"
Bolivia (Plurinational State of),2044,"15,803,298"
Bolivia (Plurinational State of),2045,"15,970,251"
Bolivia (Plurinational State of),2046,"16,136,744"
Bolivia (Plurinational State of),2047,"16,302,794"
Bolivia (Plurinational State of),2048,"16,468,455"
Bolivia (Plurinational State of),2049,"16,633,771"
Bolivia (Plurinational State of),2050,"16,798,787"
Bolivia (Plurinational State of),2051,"16,963,525"
Bolivia (Plurinational State of),2052,"17,128,032"
Bolivia (Plurinational State of),2053,"17,292,402"
Bolivia (Plurinational State of),2054,"17,456,761"
Bolivia (Plurinational State of),2055,"17,621,187"
Bolivia (Plurinational State of),2056,"17,785,716"
Bolivia (Plurinational State of),2057,"17,950,309"
Bolivia (Plurinational State of),2058,"18,114,909"
Bolivia (Plurinational State of),2059,"18,279,409"
Bolivia (Plurinational State of),2060,"18,443,725"
Bolivia (Plurinational State of),2061,"18,607,835"
Bolivia (Plurinational State of),2062,"18,771,718"
Bolivia (Plurinational State of),2063,"18,935,259"
Bolivia (Plurinational State of),2064,"19,098,330"
Bolivia (Plurinational State of),2065,"19,260,839"
Bolivia (Plurinational State of),2066,"19,422,742"
Bolivia (Plurinational State of),2067,"19,584,059"
Bolivia (Plurinational State of),2068,"19,744,761"
Bolivia (Plurinational State of),2069,"19,904,856"
Bolivia (Plurinational State of),2070,"20,064,353"
Bolivia (Plurinational State of),2071,"20,223,266"
Bolivia (Plurinational State of),2072,"20,381,647"
Bolivia (Plurinational State of),2073,"20,539,578"
Bolivia (Plurinational State of),2074,"20,697,165"
Bolivia (Plurinational State of),2075,"20,854,510"
Bolivia (Plurinational State of),2076,"21,011,689"
Bolivia (Plurinational State of),2077,"21,168,775"
Bolivia (Plurinational State of),2078,"21,325,886"
Bolivia (Plurinational State of),2079,"21,483,178"
Bolivia (Plurinational State of),2080,"21,640,765"
Bolivia (Plurinational State of),2081,"21,798,743"
Bolivia (Plurinational State of),2082,"21,957,196"
Bolivia (Plurinational State of),2083,"22,116,240"
Bolivia (Plurinational State of),2084,"22,275,973"
Bolivia (Plurinational State of),2085,"22,436,501"
Bolivia (Plurinational State of),2086,"22,597,903"
Bolivia (Plurinational State of),2087,"22,760,235"
Bolivia (Plurinational State of),2088,"22,923,563"
Bolivia (Plurinational State of),2089,"23,087,954"
Bolivia (Plurinational State of),2090,"23,253,441"
Bolivia (Plurinational State of),2091,"23,420,073"
Bolivia (Plurinational State of),2092,"23,587,879"
Bolivia (Plurinational State of),2093,"23,756,853"
Bolivia (Plurinational State of),2094,"23,927,021"
Bolivia (Plurinational State of),2095,"24,098,374"
Bolivia (Plurinational State of),2096,"24,270,895"
Bolivia (Plurinational State of),2097,"24,444,571"
Bolivia (Plurinational State of),2098,"24,619,391"
Bolivia (Plurinational State of),2099,"24,795,307"
Bolivia (Plurinational State of),2100,"24,972,285"
Brazil,1951,"55,606,419"
Brazil,1952,"57,283,658"
Brazil,1953,"58,999,277"
Brazil,1954,"60,749,500"
Brazil,1955,"62,533,919"
Brazil,1956,"64,355,722"
Brazil,1957,"66,221,466"
Brazil,1958,"68,140,425"
Brazil,1959,"70,123,377"
Brazil,1960,"72,179,226"
Brazil,1961,"74,311,343"
Brazil,1962,"76,514,328"
Brazil,1963,"78,772,657"
Brazil,1964,"81,064,571"
Brazil,1965,"83,373,530"
Brazil,1966,"85,696,505"
Brazil,1967,"88,035,814"
Brazil,1968,"90,387,079"
Brazil,1969,"92,746,614"
Brazil,1970,"95,113,265"
Brazil,1971,"97,482,920"
Brazil,1972,"99,859,383"
Brazil,1973,"102,259,497"
Brazil,1974,"104,706,198"
Brazil,1975,"107,216,205"
Brazil,1976,"109,790,938"
Brazil,1977,"112,425,392"
Brazil,1978,"115,121,153"
Brazil,1979,"117,878,411"
Brazil,1980,"120,694,009"
Brazil,1981,"123,570,327"
Brazil,1982,"126,498,314"
Brazil,1983,"129,448,819"
Brazil,1984,"132,383,568"
Brazil,1985,"135,274,080"
Brazil,1986,"138,108,912"
Brazil,1987,"140,891,602"
Brazil,1988,"143,627,503"
Brazil,1989,"146,328,304"
Brazil,1990,"149,003,223"
Brazil,1991,"151,648,011"
Brazil,1992,"154,259,380"
Brazil,1993,"156,849,078"
Brazil,1994,"159,432,716"
Brazil,1995,"162,019,896"
Brazil,1996,"164,614,688"
Brazil,1997,"167,209,040"
Brazil,1998,"169,785,250"
Brazil,1999,"172,318,675"
Brazil,2000,"174,790,340"
Brazil,2001,"177,196,054"
Brazil,2002,"179,537,520"
Brazil,2003,"181,809,246"
Brazil,2004,"184,006,481"
Brazil,2005,"186,127,103"
Brazil,2006,"188,167,356"
Brazil,2007,"190,130,443"
Brazil,2008,"192,030,362"
Brazil,2009,"193,886,508"
Brazil,2010,"195,713,635"
Brazil,2011,"197,514,536"
Brazil,2012,"199,287,299"
Brazil,2013,"201,035,912"
Brazil,2014,"202,763,739"
Brazil,2015,"204,471,769"
Brazil,2016,"206,163,053"
Brazil,2017,"207,833,823"
Brazil,2018,"209,469,323"
Brazil,2019,"211,049,527"
Brazil,2020,"212,559,417"
Brazil,2020,"212,559,417"
Brazil,2021,"214,002,631"
Brazil,2022,"215,384,332"
Brazil,2023,"216,702,698"
Brazil,2024,"217,956,094"
Brazil,2025,"219,142,987"
Brazil,2026,"220,262,030"
Brazil,2027,"221,311,989"
Brazil,2028,"222,291,816"
Brazil,2029,"223,200,598"
Brazil,2030,"224,037,576"
Brazil,2031,"224,802,247"
Brazil,2032,"225,494,268"
Brazil,2033,"226,113,537"
Brazil,2034,"226,660,145"
Brazil,2035,"227,134,312"
Brazil,2036,"227,536,442"
Brazil,2037,"227,867,020"
Brazil,2038,"228,126,571"
Brazil,2039,"228,315,761"
Brazil,2040,"228,435,497"
Brazil,2041,"228,486,671"
Brazil,2042,"228,470,706"
Brazil,2043,"228,389,714"
Brazil,2044,"228,246,174"
Brazil,2045,"228,042,421"
Brazil,2046,"227,780,005"
Brazil,2047,"227,460,430"
Brazil,2048,"227,085,912"
Brazil,2049,"226,658,786"
Brazil,2050,"226,181,177"
Brazil,2051,"225,654,867"
Brazil,2052,"225,081,234"
Brazil,2053,"224,461,521"
Brazil,2054,"223,796,723"
Brazil,2055,"223,087,938"
Brazil,2056,"222,336,713"
Brazil,2057,"221,544,532"
Brazil,2058,"220,712,392"
Brazil,2059,"219,841,136"
Brazil,2060,"218,931,794"
Brazil,2061,"217,985,888"
Brazil,2062,"217,005,136"
Brazil,2063,"215,991,236"
Brazil,2064,"214,945,981"
Brazil,2065,"213,871,245"
Brazil,2066,"212,768,843"
Brazil,2067,"211,640,718"
Brazil,2068,"210,489,141"
Brazil,2069,"209,316,501"
Brazil,2070,"208,125,189"
Brazil,2071,"206,917,216"
Brazil,2072,"205,694,683"
Brazil,2073,"204,460,082"
Brazil,2074,"203,215,998"
Brazil,2075,"201,964,893"
Brazil,2076,"200,708,695"
Brazil,2077,"199,449,255"
Brazil,2078,"198,188,837"
Brazil,2079,"196,929,716"
Brazil,2080,"195,673,927"
Brazil,2081,"194,422,984"
Brazil,2082,"193,178,116"
Brazil,2083,"191,940,596"
Brazil,2084,"190,711,543"
Brazil,2085,"189,491,865"
Brazil,2086,"188,282,441"
Brazil,2087,"187,083,807"
Brazil,2088,"185,896,064"
Brazil,2089,"184,719,011"
Brazil,2090,"183,552,495"
Brazil,2091,"182,396,446"
Brazil,2092,"181,250,902"
Brazil,2093,"180,115,875"
Brazil,2094,"178,991,319"
Brazil,2095,"177,876,963"
Brazil,2096,"176,772,331"
Brazil,2097,"175,676,728"
Brazil,2098,"174,589,206"
Brazil,2099,"173,508,585"
Brazil,2100,"172,433,452"
Chile,1951,"6,729,579"
Chile,1952,"6,869,709"
Chile,1953,"7,016,468"
Chile,1954,"7,167,907"
Chile,1955,"7,322,652"
Chile,1956,"7,479,850"
Chile,1957,"7,639,205"
Chile,1958,"7,800,877"
Chile,1959,"7,965,331"
Chile,1960,"8,132,990"
Chile,1961,"8,303,811"
Chile,1962,"8,476,897"
Chile,1963,"8,650,387"
Chile,1964,"8,821,858"
Chile,1965,"8,989,621"
Chile,1966,"9,152,844"
Chile,1967,"9,312,095"
Chile,1968,"9,468,845"
Chile,1969,"9,625,312"
Chile,1970,"9,783,134"
Chile,1971,"9,942,727"
Chile,1972,"10,103,674"
Chile,1973,"10,265,829"
Chile,1974,"10,428,798"
Chile,1975,"10,592,307"
Chile,1976,"10,756,878"
Chile,1977,"10,922,779"
Chile,1978,"11,089,165"
Chile,1979,"11,254,877"
Chile,1980,"11,419,348"
Chile,1981,"11,582,014"
Chile,1982,"11,743,911"
Chile,1983,"11,907,960"
Chile,1984,"12,078,135"
Chile,1985,"12,257,236"
Chile,1986,"12,445,823"
Chile,1987,"12,642,924"
Chile,1988,"12,847,708"
Chile,1989,"13,058,758"
Chile,1990,"13,274,623"
Chile,1991,"13,495,258"
Chile,1992,"13,719,819"
Chile,1993,"13,944,937"
Chile,1994,"14,166,340"
Chile,1995,"14,380,866"
Chile,1996,"14,587,370"
Chile,1997,"14,786,220"
Chile,1998,"14,977,733"
Chile,1999,"15,162,800"
Chile,2000,"15,342,353"
Chile,2001,"15,516,113"
Chile,2002,"15,684,409"
Chile,2003,"15,849,652"
Chile,2004,"16,014,971"
Chile,2005,"16,182,721"
Chile,2006,"16,354,504"
Chile,2007,"16,530,195"
Chile,2008,"16,708,258"
Chile,2009,"16,886,186"
Chile,2010,"17,062,536"
Chile,2011,"17,233,576"
Chile,2012,"17,400,347"
Chile,2013,"17,571,507"
Chile,2014,"17,758,959"
Chile,2015,"17,969,353"
Chile,2016,"18,209,068"
Chile,2017,"18,470,439"
Chile,2018,"18,729,160"
Chile,2019,"18,952,038"
Chile,2020,"19,116,201"
Chile,2020,"19,116,201"
Chile,2021,"19,132,654"
Chile,2022,"19,156,330"
Chile,2023,"19,183,547"
Chile,2024,"19,211,871"
Chile,2025,"19,240,171"
Chile,2026,"19,268,659"
Chile,2027,"19,298,822"
Chile,2028,"19,333,203"
Chile,2029,"19,374,982"
Chile,2030,"19,426,818"
Chile,2031,"19,489,559"
Chile,2032,"19,561,173"
Chile,2033,"19,636,256"
Chile,2034,"19,707,371"
Chile,2035,"19,769,008"
Chile,2036,"19,819,148"
Chile,2037,"19,858,712"
Chile,2038,"19,888,732"
Chile,2039,"19,911,360"
Chile,2040,"19,928,210"
Chile,2041,"19,939,219"
Chile,2042,"19,943,687"
Chile,2043,"19,941,974"
Chile,2044,"19,934,576"
Chile,2045,"19,921,867"
Chile,2046,"19,904,096"
Chile,2047,"19,881,440"
Chile,2048,"19,854,133"
Chile,2049,"19,822,420"
Chile,2050,"19,786,500"
Chile,2051,"19,746,605"
Chile,2052,"19,702,897"
Chile,2053,"19,655,483"
Chile,2054,"19,604,418"
Chile,2055,"19,549,774"
Chile,2056,"19,491,687"
Chile,2057,"19,430,330"
Chile,2058,"19,365,908"
Chile,2059,"19,298,629"
Chile,2060,"19,228,685"
Chile,2061,"19,156,224"
Chile,2062,"19,081,354"
Chile,2063,"19,004,169"
Chile,2064,"18,924,735"
Chile,2065,"18,843,130"
Chile,2066,"18,759,486"
Chile,2067,"18,673,917"
Chile,2068,"18,586,542"
Chile,2069,"18,497,434"
Chile,2070,"18,406,690"
Chile,2071,"18,314,437"
Chile,2072,"18,220,818"
Chile,2073,"18,125,976"
Chile,2074,"18,030,067"
Chile,2075,"17,933,255"
Chile,2076,"17,835,651"
Chile,2077,"17,737,408"
Chile,2078,"17,638,720"
Chile,2079,"17,539,798"
Chile,2080,"17,440,828"
Chile,2081,"17,341,932"
Chile,2082,"17,243,200"
Chile,2083,"17,144,769"
Chile,2084,"17,046,736"
Chile,2085,"16,949,210"
Chile,2086,"16,852,269"
Chile,2087,"16,755,952"
Chile,2088,"16,660,266"
Chile,2089,"16,565,189"
Chile,2090,"16,470,711"
Chile,2091,"16,376,833"
Chile,2092,"16,283,539"
Chile,2093,"16,190,857"
Chile,2094,"16,098,770"
Chile,2095,"16,007,271"
Chile,2096,"15,916,300"
Chile,2097,"15,825,829"
Chile,2098,"15,735,755"
Chile,2099,"15,645,963"
Chile,2100,"15,556,336"
Colombia,1951,"12,295,968"
Colombia,1952,"12,633,908"
Colombia,1953,"12,993,841"
Colombia,1954,"13,374,536"
Colombia,1955,"13,775,000"
Colombia,1956,"14,194,557"
Colombia,1957,"14,632,797"
Colombia,1958,"15,089,519"
Colombia,1959,"15,564,616"
Colombia,1960,"16,057,724"
Colombia,1961,"16,567,811"
Colombia,1962,"17,092,918"
Colombia,1963,"17,629,979"
Colombia,1964,"18,175,185"
Colombia,1965,"18,725,245"
Colombia,1966,"19,279,740"
Colombia,1967,"19,837,510"
Colombia,1968,"20,393,699"
Colombia,1969,"20,942,456"
Colombia,1970,"21,480,065"
Colombia,1971,"22,003,980"
Colombia,1972,"22,516,425"
Colombia,1973,"23,024,517"
Colombia,1974,"23,538,386"
Colombia,1975,"24,065,507"
Colombia,1976,"24,608,113"
Colombia,1977,"25,164,545"
Colombia,1978,"25,733,673"
Colombia,1979,"26,312,994"
Colombia,1980,"26,900,506"
Colombia,1981,"27,496,617"
Colombia,1982,"28,101,819"
Colombia,1983,"28,714,190"
Colombia,1984,"29,331,238"
Colombia,1985,"29,951,201"
Colombia,1986,"30,572,478"
Colombia,1987,"31,195,413"
Colombia,1988,"31,822,525"
Colombia,1989,"32,457,499"
Colombia,1990,"33,102,575"
Colombia,1991,"33,758,337"
Colombia,1992,"34,422,569"
Colombia,1993,"35,091,275"
Colombia,1994,"35,758,979"
Colombia,1995,"36,421,438"
Colombia,1996,"37,076,387"
Colombia,1997,"37,723,800"
Colombia,1998,"38,364,309"
Colombia,1999,"38,999,471"
Colombia,2000,"39,629,968"
Colombia,2001,"40,255,967"
Colombia,2002,"40,875,360"
Colombia,2003,"41,483,869"
Colombia,2004,"42,075,955"
Colombia,2005,"42,647,723"
Colombia,2006,"43,200,897"
Colombia,2007,"43,737,516"
Colombia,2008,"44,254,975"
Colombia,2009,"44,750,054"
Colombia,2010,"45,222,700"
Colombia,2011,"45,662,748"
Colombia,2012,"46,075,718"
Colombia,2013,"46,495,493"
Colombia,2014,"46,967,696"
Colombia,2015,"47,520,667"
Colombia,2016,"48,175,052"
Colombia,2017,"48,909,839"
Colombia,2018,"49,661,048"
Colombia,2019,"50,339,443"
Colombia,2020,"50,882,891"
Colombia,2020,"50,882,891"
Colombia,2021,"51,065,532"
Colombia,2022,"51,285,273"
Colombia,2023,"51,536,408"
Colombia,2024,"51,813,075"
Colombia,2025,"52,109,216"
Colombia,2026,"52,418,538"
Colombia,2027,"52,734,575"
Colombia,2028,"53,050,789"
Colombia,2029,"53,360,805"
Colombia,2030,"53,659,000"
Colombia,2031,"53,941,227"
Colombia,2032,"54,205,321"
Colombia,2033,"54,451,433"
Colombia,2034,"54,681,260"
Colombia,2035,"54,895,989"
Colombia,2036,"55,094,674"
Colombia,2037,"55,275,908"
Colombia,2038,"55,440,069"
Colombia,2039,"55,587,908"
Colombia,2040,"55,720,014"
Colombia,2041,"55,836,513"
Colombia,2042,"55,937,364"
Colombia,2043,"56,022,916"
Colombia,2044,"56,093,569"
Colombia,2045,"56,149,708"
Colombia,2046,"56,191,616"
Colombia,2047,"56,219,567"
Colombia,2048,"56,233,925"
Colombia,2049,"56,235,078"
Colombia,2050,"56,223,383"
Colombia,2051,"56,199,127"
Colombia,2052,"56,162,576"
Colombia,2053,"56,114,067"
Colombia,2054,"56,053,921"
Colombia,2055,"55,982,460"
Colombia,2056,"55,899,967"
Colombia,2057,"55,806,626"
Colombia,2058,"55,702,520"
Colombia,2059,"55,587,653"
Colombia,2060,"55,462,080"
Colombia,2061,"55,326,013"
Colombia,2062,"55,179,734"
Colombia,2063,"55,023,432"
Colombia,2064,"54,857,379"
Colombia,2065,"54,681,817"
Colombia,2066,"54,497,021"
Colombia,2067,"54,303,311"
Colombia,2068,"54,100,954"
Colombia,2069,"53,890,234"
Colombia,2070,"53,671,515"
Colombia,2071,"53,445,145"
Colombia,2072,"53,211,576"
Colombia,2073,"52,971,238"
Colombia,2074,"52,724,613"
Colombia,2075,"52,472,211"
Colombia,2076,"52,214,446"
Colombia,2077,"51,951,878"
Colombia,2078,"51,685,210"
Colombia,2079,"51,415,229"
Colombia,2080,"51,142,661"
Colombia,2081,"50,868,023"
Colombia,2082,"50,591,779"
Colombia,2083,"50,314,487"
Colombia,2084,"50,036,682"
Colombia,2085,"49,758,872"
Colombia,2086,"49,481,453"
Colombia,2087,"49,204,803"
Colombia,2088,"48,929,329"
Colombia,2089,"48,655,466"
Colombia,2090,"48,383,544"
Colombia,2091,"48,113,800"
Colombia,2092,"47,846,379"
Colombia,2093,"47,581,360"
Colombia,2094,"47,318,770"
Colombia,2095,"47,058,589"
Colombia,2096,"46,800,787"
Colombia,2097,"46,545,309"
Colombia,2098,"46,292,083"
Colombia,2099,"46,041,001"
Colombia,2100,"45,791,954"
Ecuador,1951,"3,561,079"
Ecuador,1952,"3,654,722"
Ecuador,1953,"3,751,595"
Ecuador,1954,"3,852,126"
Ecuador,1955,"3,956,620"
Ecuador,1956,"4,065,313"
Ecuador,1957,"4,178,344"
Ecuador,1958,"4,295,747"
Ecuador,1959,"4,417,535"
Ecuador,1960,"4,543,666"
Ecuador,1961,"4,674,172"
Ecuador,1962,"4,809,201"
Ecuador,1963,"4,948,986"
Ecuador,1964,"5,093,854"
Ecuador,1965,"5,243,977"
Ecuador,1966,"5,399,422"
Ecuador,1967,"5,560,012"
Ecuador,1968,"5,725,459"
Ecuador,1969,"5,895,367"
Ecuador,1970,"6,069,376"
Ecuador,1971,"6,247,418"
Ecuador,1972,"6,429,379"
Ecuador,1973,"6,614,843"
Ecuador,1974,"6,803,280"
Ecuador,1975,"6,994,334"
Ecuador,1976,"7,187,787"
Ecuador,1977,"7,383,724"
Ecuador,1978,"7,582,353"
Ecuador,1979,"7,784,072"
Ecuador,1980,"7,989,186"
Ecuador,1981,"8,197,652"
Ecuador,1982,"8,409,397"
Ecuador,1983,"8,624,594"
Ecuador,1984,"8,843,462"
Ecuador,1985,"9,066,109"
Ecuador,1986,"9,292,474"
Ecuador,1987,"9,522,360"
Ecuador,1988,"9,755,579"
Ecuador,1989,"9,991,870"
Ecuador,1990,"10,230,934"
